tick,action,sm_state,pos_x,pos_y
332,4,RECOVER,771.9,-2967.0
333,8,RECOVER,767.8,-2967.0
334,8,RECOVER,764.1,-2967.0
335,8,RECOVER,760.8,-2966.9
336,8,RECOVER,757.8,-2966.9
337,8,RECOVER,755.1,-2966.9
338,8,RECOVER,752.6,-2966.9
339,8,RECOVER,750.3,-2966.9
340,8,RECOVER,748.3,-2966.9
341,8,RECOVER,746.5,-2966.9
342,8,RECOVER,744.8,-2966.9
343,8,RECOVER,743.3,-2966.9
344,8,RECOVER,741.9,-2966.9
345,8,RECOVER,740.7,-2966.9
346,8,RECOVER,739.5,-2966.9
347,8,RECOVER,738.5,-2966.9
348,8,RECOVER,737.6,-2966.9
349,8,RECOVER,736.8,-2966.9
350,8,RECOVER,736.0,-2966.9
351,8,RECOVER,735.3,-2966.9
352,8,RECOVER,734.7,-2966.9
353,8,RECOVER,734.1,-2966.9
354,8,RECOVER,733.6,-2966.9
355,8,RECOVER,733.1,-2966.9
356,8,RECOVER,732.7,-2966.9
357,8,RECOVER,732.3,-2966.9
358,8,RECOVER,732.0,-2966.9
359,8,RECOVER,731.7,-2966.9
360,8,RECOVER,731.4,-2966.9
361,8,RECOVER,731.1,-2966.9
362,8,RECOVER,730.9,-2966.9
363,8,RECOVER,730.7,-2966.9
364,8,RECOVER,730.5,-2966.9
365,8,RECOVER,730.3,-2966.9
366,8,RECOVER,730.2,-2966.9
367,8,RECOVER,730.0,-2966.9
368,8,RECOVER,729.9,-2966.9
369,8,RECOVER,729.8,-2966.9
370,8,RECOVER,729.7,-2966.9
371,8,RECOVER,729.6,-2966.9
372,8,RECOVER,729.5,-2966.9
373,8,RECOVER,729.4,-2966.9
374,8,RECOVER,729.3,-2966.9
375,8,RECOVER,729.3,-2966.9
376,8,RECOVER,729.2,-2966.9
377,8,RECOVER,729.2,-2966.9
378,8,RECOVER,729.2,-2966.9
379,8,RECOVER,729.2,-2966.9
380,8,RECOVER,729.2,-2966.9
381,8,RECOVER,729.2,-2966.9
382,1,RECOVER,729.2,-2966.9
383,1,RECOVER,730.0,-2966.6
384,1,RECOVER,731.4,-2966.1
385,1,RECOVER,733.4,-2965.4
386,1,RECOVER,735.9,-2964.5
387,1,RECOVER,739.0,-2963.4
388,1,RECOVER,742.5,-2962.2
389,1,RECOVER,746.4,-2960.8
390,1,RECOVER,750.6,-2960.0
391,1,RECOVER,752.9,-2960.0
392,1,RECOVER,755.4,-2960.0
393,1,RECOVER,758.3,-2960.0
394,1,RECOVER,761.6,-2960.0
395,1,RECOVER,765.2,-2960.0
396,1,RECOVER,769.0,-2960.0
397,1,RECOVER,773.1,-2960.0
398,1,RECOVER,777.4,-2960.0
