2026-02-02 15:11:56,463 - INFO - Starting Doom Agent with WAD: DOOM\wads\doom2.wad
2026-02-02 15:11:57,237 - INFO - Game initialized with WAD: DOOM\wads\doom2.wad
2026-02-02 15:11:57,239 - INFO - ============================================================
2026-02-02 15:11:57,239 - INFO - Starting new episode
2026-02-02 15:11:57,239 - INFO - ============================================================
2026-02-02 15:11:57,259 - INFO - Episode started successfully
2026-02-02 15:12:07,918 - INFO - Navigating to frontier: (np.int64(57), np.int64(60))
2026-02-02 15:12:07,973 - INFO - Navigating to frontier: (np.int64(57), np.int64(60))
2026-02-02 15:12:08,023 - INFO - Navigating to frontier: (np.int64(57), np.int64(60))
2026-02-02 15:12:08,077 - INFO - Navigating to frontier: (np.int64(57), np.int64(60))
2026-02-02 15:12:08,150 - INFO - Navigating to frontier: (np.int64(57), np.int64(60))
2026-02-02 15:12:08,201 - INFO - Navigating to frontier: (np.int64(57), np.int64(60))
2026-02-02 15:12:08,258 - INFO - Navigating to frontier: (np.int64(57), np.int64(60))
2026-02-02 15:12:08,316 - INFO - Navigating to frontier: (np.int64(57), np.int64(60))
2026-02-02 15:12:08,368 - INFO - Navigating to frontier: (np.int64(57), np.int64(60))
2026-02-02 15:12:08,425 - INFO - Navigating to frontier: (np.int64(57), np.int64(60))
2026-02-02 15:12:08,485 - INFO - Navigating to frontier: (np.int64(57), np.int64(60))
2026-02-02 15:12:08,533 - INFO - Navigating to frontier: (np.int64(57), np.int64(60))
2026-02-02 15:12:08,582 - INFO - Navigating to frontier: (np.int64(57), np.int64(60))
2026-02-02 15:12:08,633 - INFO - Navigating to frontier: (np.int64(57), np.int64(60))
2026-02-02 15:12:08,685 - INFO - Navigating to frontier: (np.int64(57), np.int64(60))
2026-02-02 15:12:08,747 - INFO - Navigating to frontier: (np.int64(57), np.int64(60))
2026-02-02 15:12:08,799 - INFO - Navigating to frontier: (np.int64(57), np.int64(60))
2026-02-02 15:12:08,846 - INFO - Navigating to frontier: (np.int64(57), np.int64(60))
2026-02-02 15:12:08,846 - INFO - Step 240: Health=100 Ammo=41 Kills=-162 Enemies=0 Actions=['RIGHT_TURN']
2026-02-02 15:12:08,895 - INFO - Navigating to frontier: (np.int64(57), np.int64(60))
2026-02-02 15:12:08,953 - INFO - Navigating to frontier: (np.int64(57), np.int64(60))
2026-02-02 15:12:09,000 - INFO - Navigating to frontier: (np.int64(57), np.int64(60))
2026-02-02 15:12:09,053 - INFO - Navigating to frontier: (np.int64(57), np.int64(60))
2026-02-02 15:12:09,105 - INFO - Navigating to frontier: (np.int64(57), np.int64(60))
2026-02-02 15:12:09,161 - INFO - Navigating to frontier: (np.int64(57), np.int64(60))
2026-02-02 15:12:09,215 - INFO - Navigating to frontier: (np.int64(57), np.int64(60))
2026-02-02 15:12:09,268 - INFO - Navigating to frontier: (np.int64(57), np.int64(60))
2026-02-02 15:12:09,329 - INFO - Navigating to frontier: (np.int64(57), np.int64(60))
2026-02-02 15:12:09,378 - INFO - Navigating to frontier: (np.int64(57), np.int64(60))
2026-02-02 15:12:09,435 - INFO - Navigating to frontier: (np.int64(57), np.int64(60))
2026-02-02 15:12:09,485 - INFO - Navigating to frontier: (np.int64(57), np.int64(60))
2026-02-02 15:12:09,542 - INFO - Navigating to frontier: (np.int64(57), np.int64(60))
2026-02-02 15:12:09,592 - INFO - Navigating to frontier: (np.int64(57), np.int64(60))
2026-02-02 15:12:09,642 - INFO - Navigating to frontier: (np.int64(57), np.int64(60))
2026-02-02 15:12:09,694 - INFO - Navigating to frontier: (np.int64(57), np.int64(60))
2026-02-02 15:12:09,742 - INFO - Navigating to frontier: (np.int64(57), np.int64(60))
2026-02-02 15:12:09,791 - INFO - Navigating to frontier: (np.int64(57), np.int64(60))
2026-02-02 15:12:09,843 - INFO - Navigating to frontier: (np.int64(57), np.int64(60))
2026-02-02 15:12:09,893 - INFO - Navigating to frontier: (np.int64(57), np.int64(60))
2026-02-02 15:12:09,893 - INFO - Step 260: Health=100 Ammo=41 Kills=-162 Enemies=0 Actions=['RIGHT_TURN']
2026-02-02 15:12:09,943 - INFO - Navigating to frontier: (np.int64(57), np.int64(60))
2026-02-02 15:12:09,990 - INFO - Navigating to frontier: (np.int64(57), np.int64(60))
2026-02-02 15:12:10,047 - INFO - Navigating to frontier: (np.int64(57), np.int64(60))
2026-02-02 15:12:10,098 - INFO - Navigating to frontier: (np.int64(57), np.int64(60))
2026-02-02 15:12:10,145 - INFO - Navigating to frontier: (np.int64(57), np.int64(60))
2026-02-02 15:12:10,196 - INFO - Navigating to frontier: (np.int64(57), np.int64(60))
2026-02-02 15:12:10,252 - INFO - Navigating to frontier: (np.int64(57), np.int64(60))
2026-02-02 15:12:10,299 - INFO - Navigating to frontier: (np.int64(57), np.int64(60))
2026-02-02 15:12:10,347 - INFO - Navigating to frontier: (np.int64(57), np.int64(60))
2026-02-02 15:12:10,414 - INFO - Navigating to frontier: (np.int64(57), np.int64(60))
2026-02-02 15:12:10,464 - INFO - Navigating to frontier: (np.int64(57), np.int64(60))
2026-02-02 15:12:10,516 - INFO - Navigating to frontier: (np.int64(57), np.int64(60))
2026-02-02 15:12:10,566 - INFO - Navigating to frontier: (np.int64(57), np.int64(60))
2026-02-02 15:12:10,613 - INFO - Navigating to frontier: (np.int64(57), np.int64(60))
2026-02-02 15:12:10,665 - INFO - Navigating to frontier: (np.int64(57), np.int64(60))
2026-02-02 15:12:10,715 - INFO - Navigating to frontier: (np.int64(57), np.int64(60))
2026-02-02 15:12:10,774 - INFO - Navigating to frontier: (np.int64(57), np.int64(60))
2026-02-02 15:12:10,822 - INFO - Navigating to frontier: (np.int64(57), np.int64(60))
2026-02-02 15:12:10,870 - INFO - Navigating to frontier: (np.int64(57), np.int64(60))
2026-02-02 15:12:10,921 - INFO - Navigating to frontier: (np.int64(57), np.int64(60))
2026-02-02 15:12:10,922 - INFO - Step 280: Health=100 Ammo=41 Kills=-162 Enemies=0 Actions=['RIGHT_TURN']
2026-02-02 15:12:10,972 - INFO - Navigating to frontier: (np.int64(57), np.int64(60))
2026-02-02 15:12:11,023 - INFO - Navigating to frontier: (np.int64(57), np.int64(60))
2026-02-02 15:12:11,081 - INFO - Navigating to frontier: (np.int64(57), np.int64(60))
2026-02-02 15:12:11,136 - INFO - Navigating to frontier: (np.int64(57), np.int64(60))
2026-02-02 15:12:11,185 - INFO - Navigating to frontier: (np.int64(57), np.int64(60))
2026-02-02 15:12:11,234 - INFO - Navigating to frontier: (np.int64(57), np.int64(60))
2026-02-02 15:12:11,286 - INFO - Navigating to frontier: (np.int64(57), np.int64(60))
2026-02-02 15:12:11,337 - INFO - Navigating to frontier: (np.int64(57), np.int64(60))
2026-02-02 15:12:11,391 - INFO - Navigating to frontier: (np.int64(57), np.int64(60))
2026-02-02 15:12:11,447 - INFO - Navigating to frontier: (np.int64(57), np.int64(60))
2026-02-02 15:12:11,505 - INFO - Navigating to frontier: (np.int64(57), np.int64(60))
2026-02-02 15:12:11,561 - INFO - Navigating to frontier: (np.int64(57), np.int64(60))
2026-02-02 15:12:11,611 - INFO - Navigating to frontier: (np.int64(57), np.int64(60))
2026-02-02 15:12:11,669 - INFO - Navigating to frontier: (np.int64(57), np.int64(60))
